UID,good-score,good,bad-score,bad,linguistics_term
634,,الخبر كاذب,,الخبر كاذبان,NS- Agrees in number
635,,الأطباء رقيقون,,الطبيب رقيقون ,NS- Agrees in number
636,,الأرنب سمين,,الأرانب سمين,NS- Agrees in number
637,,الأسود شجعان,,الأسد شجعان,NS- Agrees in number
638,,الحيوانات مفترسة,,الحيوان مفترسة,NS- Agrees in number
639,,القلب دامع,,القلوب دامع,NS- Agrees in number
640,,هذه الباحة واسعة,,هاتان الباحة واسعة,NS- Agrees in number
641,,الكرامة محفوظة,,الكرامة محفوظات,NS- Agrees in number
642,,النمر قوي,,النمور قوي,NS- Agrees in number
643,,هذا الشاطئ ممتلئ,,هذان الشاطئ ممتلئ,NS- Agrees in number
644,,هذا السكن هادئ,,هذان السكن هادئ,NS- Agrees in number
645,,اليوم قصير,,الأيام قصير,NS- Agrees in number
646,,الصلح جميل,,الصلح جميلان,NS- Agrees in number
647,,الفتح مبين,,الفتحان مبين,NS- Agrees in number
648,,التشابيه شديد,,التشابهان شديد,NS- Agrees in number
649,,هذا الجسم نحيل,,هذان الجسم نحل,NS- Agrees in number
650,,الرجل بخيل,,الرجال بخيل,NS- Agrees in number
651,,هذا طالب نشيط,,هذه طالب نشيط,NS- Agrees in number
652,,الشجرة مثمرة,,الشجرة مثمر,NS- Agrees in gender
653,,الدواء مفيد,,الدواء مفيدة,NS- Agrees in gender
654,,العاملات نشيطات,,العامل نشيطات,NS- Agrees in gender
655,,المهندسة بارعة,,المهندس بارعة,NS- Agrees in gender
656,,هذا طفل جميل,,هذه طفل جميل,NS- Agrees in gender
657,,هذه طالبة مجدة,,هذا طالبة مجدة,NS- Agrees in gender
658,,الممرضة نشيطة,,الممرضة نشيط,NS- Agrees in gender
659,,العاملان ماهران,,العاملتان ماهران,NS- Agrees in gender
660,,هذا العلم نور,,هذه العلم نور,NS- Agrees in gender
661,,الشجرة مباركة,,الشجرة مبارك,NS- Agrees in gender
662,,هذا المقعد مريح,,هذه المقعد مريح,NS- Agrees in gender
663,,الساعة قائمة,,الساعة قائم,NS- Agrees in gender
664,,القمر منير,,القمر منيرة,NS- Agrees in gender
665,,العمود محطم,,العمود محطمة,NS- Agrees in gender
666,,الشمس مشرقة,,الشمس مشرق,NS- Agrees in gender
667,,الربيع مزهر,,الربيع مزهرة,NS- Agrees in gender
668,,الزهرة ملونة,,الزهرة ملون,NS- Agrees in gender
669,,الطبيبة ماهرة,,الطبيب ماهرة,NS- Agrees in gender
670,,الشارع فارغ,,الشارع فارغة,NS- Agrees in gender
671,,الولد نظيف,,الولد نظيفة,NS- Agrees in gender
672,,الإنسان ذكي,,الإنسان ذكية,NS- Agrees in gender
673,,الطفلة جميلة,,الطفل جميلة,NS- Agrees in gender
674,,المعلمتان نشيطتان,,المعلمان نشيطتان,NS- Agrees in gender
675,,الأطباء بارعون,,الطبيبات بارعون,NS- Agrees in gender
676,,الجو جميل,,الجو جميلة,NS- Agrees in gender
677,,هذا الجو معتدل,,هذه الجو معتدل,NS- Agrees in gender
678,,هذا الخط واضح,,هذه الخط واضح,NS- Agrees in gender
679,,الأولاد نظيفون,,البنات نظيفون,NS- Agrees in gender
680,,المهندسان بارعان,,المهندستان بارعان,NS- Agrees in gender
681,,هذه الشجرة مورقة,,هذا الشجرة مورقة,NS- Agrees in gender
682,,العلم نافع,,العلم نافعة,NS- Agrees in gender
683,,الذهب لامع,,الذهب لامعة,NS- Agrees in gender
684,,القصة مثيرة,,القصة مثير,NS- Agrees in gender
685,,اللؤلؤة ثمينة,,اللؤلؤة ثمين,NS- Agrees in gender
686,,هذا العمل رائع,,هذه العمل رائع,NS- Agrees in gender
687,,البحيرة صافية,,البحيرة صافي,NS- Agrees in gender
688,,العامل مجد,,العاملة مجد,NS- Agrees in gender
689,,النجم لامع,,النجمة لامع,NS- Agrees in gender
690,,السيارة مسرعة,,السيارة مسرع,NS- Agrees in gender
691,,الرياضة مفيدة,,الرياضة مفيد,NS- Agrees in gender
692,,الغيمة داكنة,,الغيمة داكن,NS- Agrees in gender
693,,الحديقة جميلة,,الحديقة جميل,NS- Agrees in gender
694,,الطفلان جميلان,,الطفلتان جميلان,NS- Agrees in gender
695,,الصانعان بارعان,,الصانعتان بارعان,NS- Agrees in gender
696,,المهندسات نشيطات,,المهندسون نشيطات,NS- Agrees in gender
697,,الفلاحون نشيطون,,الفلاحات نشيطون,NS- Agrees in gender
698,,هذه البقرة حلوبة,,هذا البقرة حلوبة,NS- Agrees in gender
699,,الغيمة ماطرة,,الغيمة ماطر,NS- Agrees in gender
700,,هذا الكلام صحيح,,هذه الكلام صحيح,NS- Agrees in gender
701,,العمل مفيد,,العمل مفيدة,NS- Agrees in gender
702,,الفاكهة لذيذة,,الفاكهة لذيذ,NS- Agrees in gender
703,,الزهرة متفتحة,,الزهرة متفتح,NS- Agrees in gender
704,,الأولاد مشاغبون,,الأولاد مشاغبات,NS- Agrees in gender
705,,الصف كبير,,الصف كبيرة,NS- Agrees in gender
706,,المحل واسع,,المحل واسعة,NS- Agrees in gender
707,,الكتاب مفتوح,,الكتاب مفتوحة,NS- Agrees in gender
708,,الغرفة واسعة,,الغرفة واسع,NS- Agrees in gender
709,,القراءة ممتعة,,القراءة ممتع,NS- Agrees in gender
710,,السمك لذيذ,,السمك لذيذة,NS- Agrees in gender
711,,المعلمات قديرات,,المعلمون قديرات,NS- Agrees in gender
712,,القهوة لذيذة,,القهوة لذيذ,NS- Agrees in gender
713,,الدواء مفيد,,الدواء مفيدة,NS- Agrees in gender
714,,الشاب وسيم,,الشابة وسيم,NS- Agrees in gender
715,,الحصان سريع,,الحصان سريعة,NS- Agrees in gender
716,,هذا القمر بدر,,هذه القمر بدر,NS- Agrees in gender
717,,هذه الليلة مقمرة,,هذا الليلة مقمرة,NS- Agrees in gender
718,,اللوحتان جميلتان,,اللوحتان جميلان,NS- Agrees in gender
719,,هذا الفضاء رحب,,هذه الفضاء رحب,NS- Agrees in gender
720,,التلميذان مهذبان,,التلميذتان مهذبان,NS- Agrees in gender
721,,الفلاحات مخلصات,,الفلاحون مخلصات,NS- Agrees in gender
722,,السفينة ضخمة,,السفينة ضخم,NS- Agrees in gender
723,,الدرب طويل,,الدرب طويلة,NS- Agrees in gender
724,,القافلة كبيرة,,القافلة كبير,NS- Agrees in gender
725,,المعلومة مهمة,,المعلومة مهم,NS- Agrees in gender
726,,البستان جميل,,البستان جميلة,NS- Agrees in gender
727,,القلعة شامخة,,القلعة شامخ,NS- Agrees in gender
728,,المعمل ضخم,,المعمل ضخمة,NS- Agrees in gender
729,,هذا السد عال,,هذه السد عال,NS- Agrees in gender
730,,الرواية ممتعة,,الرواية ممتع,NS- Agrees in gender
731,,الجملتان واضحتان,,الجملتان واضحان,NS- Agrees in gender
732,,الحكمة صائبة,,الحكمة صائب,NS- Agrees in gender
733,,البحر عميق,,البحر عميقة,NS- Agrees in gender
734,,المصباح مضيء,,المصباح مضيئة,NS- Agrees in gender
735,,الفرج قريب,,الفرج قريبة,NS- Agrees in gender
736,,النصر أكيد,,النصر أكيدة,NS- Agrees in gender
737,,الحل مناسب,,الحل مناسبة,NS- Agrees in gender
738,,العمر قصير,,العمر قصيرة,NS- Agrees in gender
739,,هذا الحيوان متوحش,,هذه الحيوان متوحش,NS- Agrees in gender
740,,الطاووس مغرور,,الطاووس مغرورة,NS- Agrees in gender
741,,القنديل منير,,القنديل منيرة,NS- Agrees in gender
742,,التلميذ مشاغب,,التلميذة مشاغب,NS- Agrees in gender
743,,الفهد سريع,,الفهد سريعة,NS- Agrees in gender
744,,البطة سمينة,,البطة سمين,NS- Agrees in gender
745,,المدربان شجاعان,,المدربتان شجاعان,NS- Agrees in gender
746,,اللاعبات نشيطات,,اللاعبون نشيطات,NS- Agrees in gender
747,,هذه الوردة شذية,,هذا الوردة شذية,NS- Agrees in gender
748,,الولد صالح,,البنت صالح,NS- Agrees in gender
749,,اليتيم مقهور,,اليتيم مقهورة,NS- Agrees in gender
750,,البارجة ضخمة,,البارجة ضخم,NS- Agrees in gender
751,,القائد حكيم,,القائد حكيمة,NS- Agrees in gender
752,,المعلمان متفانيان,,المعلمتان متفانيان,NS- Agrees in gender
753,,المديرة صارمة,,المدير صارمة,NS- Agrees in gender
754,,الأسلوب جيد,,الأسلوب جيدة,NS- Agrees in gender
755,,المرض شديد,,المرض شديدة,NS- Agrees in gender
756,,هذا الوباء عام,,هذه الوباء عام,NS- Agrees in gender
757,,السفر ممتع,,السفر ممتعة,NS- Agrees in gender
758,,الأمر عظيم,,الأمر عظيمة,NS- Agrees in gender
759,,الكذب مزعج,,الكذب مزعجة,NS- Agrees in gender
760,,الكاتبان ماهران,,الكاتبان ماهرتان,NS- Agrees in gender
761,,الأديب نشيط,,الأديبة نشيط,NS- Agrees in gender
762,,القلب كبير,,القلب كبيرة,NS- Agrees in gender
763,,هذا الحب عظيم,,هذه الحب عظيم,NS- Agrees in gender
764,,هذان العاشقان مولهان,,هاتان العاشقان مولهان,NS- Agrees in gender
765,,الغصن منكسر,,الغصن منكسرة,NS- Agrees in gender
766,,الثمرة ناضجة,,الثمرة ناضج,NS- Agrees in gender
767,,هذا الحليب طازج,,هذه الحليب طازج,NS- Agrees in gender
768,,العدو شرس,,العدو شرسة,NS- Agrees in gender
769,,المتفرج مندهش,,المتفرج مندهشة,NS- Agrees in gender
770,,الطالب عبقري,,الطالبة عبقري,NS- Agrees in gender
771,,الهواء عليل,,الهواء عليلة,NS- Agrees in gender
772,,هذا البحر أجاج,,هذه البحر أجاج,NS- Agrees in gender
773,,هذا الماء عذب,,هذه الماء عذب,NS- Agrees in gender
774,,المشاهد مستمتع,,المشاهد مستمتعة,NS- Agrees in gender
775,,النهر جاري,,النهر جارية,NS- Agrees in gender
776,,الغابة كثيفة,,الغابة كثيف,NS- Agrees in gender
777,,الفيتامين ضروري,,الفيتامين ضرورية,NS- Agrees in gender
778,,السلاح قاتل,,السلاح قاتلة,NS- Agrees in gender
779,,الجنديان منهزمان,,الجنديان منهزمتان,NS- Agrees in gender
780,,العاملان مهملان,,العاملتان مهملان,NS- Agrees in gender
781,,هذا الثلج أبيض,,هذه الثلج أبيض,NS- Agrees in gender
782,,الربيع مزهر,,الربيع مزهرة,NS- Agrees in gender
783,,هذا الصيف حار,,هذه الصيف حار,NS- Agrees in gender
784,,هذا الخريف عجوز مريض,,هذه الخريف عجوز مريض,NS- Agrees in gender
785,,الولد واقف,,الولد واقفة,NS- Agrees in gender
786,,السمك طازج,,السمكة طازج,NS- Agrees in gender
787,,هذا الأمل مفتاح السعادة,,هذه الأمل مفتاح السعادة,NS- Agrees in gender
788,,هذا التفاؤل سر النجاح,,هذه التفاؤل سر النجاح,NS- Agrees in gender
789,,القراءتان صحيحتان,,القراءتان صحيحان,NS- Agrees in gender
790,,الموضوعان رائعان,,الموضوعان رائعتان,NS- Agrees in gender
791,,الطب مفيد,,الطب مفيدة,NS- Agrees in gender
792,,البركان هائج,,البركان هائجة,NS- Agrees in gender
793,,البنت جذابة,,الولد جذابة,NS- Agrees in gender
794,,اللوحة نفيسة,,اللوحة نفيس,NS- Agrees in gender
795,,اللون زاهي,,اللون زاهية,NS- Agrees in gender
796,,القلب خاشع,,القلب خاشعة,NS- Agrees in gender
797,,الشجرة مثمرة,,الشجرة مثمر,NS- Agrees in gender
798,,الشاحنة فارغة,,الشاحنة فارغ,NS- Agrees in gender
799,,العصفور مصاب,,العصفور مصابة,NS- Agrees in gender
800,,اللعبة مشوقة,,اللعبة مشوق,NS- Agrees in gender
801,,الصديق نادر,,الصديقة نادر,NS- Agrees in gender
802,,الصداقة ثمينة,,الصداقة ثمين,NS- Agrees in gender
803,,السباحة مفيدة,,السباحة مفيد,NS- Agrees in gender
804,,هذا المدرب جريء,,هذه المدرب جريء,NS- Agrees in gender
805,,السجن مظلم,,السجن مظلمة,NS- Agrees in gender
806,,هذا الدمع غزير,,هذه الدمع غزيز,NS- Agrees in gender
807,,الوجع فظيع,,الوجع فظيعة,NS- Agrees in gender
808,,المناسبة كبيرة,,المناسبة كبير,NS- Agrees in gender
809,,الخاتم ثمين,,الخاتم ثمينة,NS- Agrees in gender
810,,القطة صغيرة,,القط صغيرة,NS- Agrees in gender
811,,هذا الطحين ناعم,,هذه الطحين ناعم,NS- Agrees in gender
812,,هذا الغصن أخضر,,هذه الغصن أخضر,NS- Agrees in gender
813,,السمك ملون,,السمكة ملون,NS- Agrees in gender
814,,الحوت ضخم,,الحوت ضخمة,NS- Agrees in gender
815,,الرائحة زكية,,الرائحة زكي,NS- Agrees in gender
816,,الطفل سليم,,الطفلة سليم,NS- Agrees in gender
817,,القصة مرعبة,,القصة مرعب,NS- Agrees in gender
818,,الجار طيب,,الجارة طيب,NS- Agrees in gender
819,,الطبيعة خلابة,,الطبيعة خلاب,NS- Agrees in gender
820,,الصالة مكيفة,,الصالة مكيف,NS- Agrees in gender
821,,الجمل صبور,,الجمل صبورة,NS- Agrees in gender
822,,الليلة مظلمة,,الليلة مظلم,NS- Agrees in gender
823,,الخيانة ذميمة,,الخيانة ذميم,NS- Agrees in gender
824,,الورقة كبيرة,,الورقة كبير,NS- Agrees in gender
825,,القيمة باهظة,,القيمة باهظ,NS- Agrees in gender
826,,الصورتان واضحتان,,الصورتان واضحان,NS- Agrees in gender
827,,السفينة مبحرة,,السفينة مبحر,NS- Agrees in gender
828,,المسجد مكتظ,,المسجد مكتظة,NS- Agrees in gender
829,,القدر محتوم,,القدر محتومة,NS- Agrees in gender
830,,الغروب رائع,,الغروب رائعة,NS- Agrees in gender
831,,الشروق مبهر,,الشروق مبهرة,NS- Agrees in gender
832,,هذه المعاملة حسنة,,هذا المعاملة حسنة,NS- Agrees in gender
833,,الخبرة ضرورية,,الخبرة ضروري,NS- Agrees in gender
834,,القيادة ممتعة,,القيادة ممتع,NS- Agrees in gender
835,,الصراع قائم,,الصراع قائمة,NS- Agrees in gender
836,,هذا الأمر جلل,,هذه الأمر جلل,NS- Agrees in gender
837,,القمة شاهقة,,القمة شاهق,NS- Agrees in gender
838,,هذا الماء نمير,,هذه الماء نمير,NS- Agrees in gender
839,,الملك عادل,,الملك عادلة,NS- Agrees in gender
840,,الرجولة مطلوبة,,الرجولة مطلوب,NS- Agrees in gender
841,,الرجلان طويلان,,الرجلان طويلتان,NS- Agrees in gender
842,,الخيط مفتول,,الخيط مفتولة,NS- Agrees in gender
843,,العمل شاق,,العملان شاق,NS- Agrees in gender
844,,الحجر ثقيل,,الحجران ثقيل,NS- Agrees in gender
845,,الرزق وفير,,الرزق وفيرة,NS- Agrees in gender
846,,الرجل كريم,,الرجل كريمة,NS- Agrees in gender
847,,هذه المرأة جميلة,,هذا المرأة جميلة,NS- Agrees in gender
848,,القامة ممشوقة,,القامة ممشوق,NS- Agrees in gender
849,,هذا الفيل ضخم,,هذه الفيل ضخم,NS- Agrees in gender
850,,الصقر سريع,,الصقر سريعة,NS- Agrees in gender
851,,السماء تمطر بغزارة,,السماء تمطر السماء بغزارة,NS- Use VS 
852,,الفلاح يزرع بنشاط,,الفلاح يزرع الفلاح بنشاط,NS- Use VS 
853,,المعلم يبني الإنسان,,المعلم يبني المعلم الإنسان,NS- Use VS 
854,,الجندي يحمل السلاح,,الجندي يحمل الجندي السلاح,NS- Use VS 
855,,الوطن يحتضن أبناءه,,الوطن يحتضن الوطن أبناءه,NS- Use VS 
856,,الشجر تعطي الثمر,,الشجر تعطي الشجر الثمر,NS- Use VS 
857,,الجنود تدافع عن الوطن,,الجنود تدافع الجنود عن الوطن,NS- Use VS 
858,,المدرب يروض الفرس,,المدرب يروض المدرب الفرس,NS- Use VS 
859,,الدفتر يزين بالصور,,الدفتر يزين الدفتر بالصور,NS- Use VS 
860,,الكتاب يغذي العقول,,الكتاب يغذي الكتاب العقول,NS- Use VS 
861,,العامل يبني الجسر,,العامل يبني العامل الجسر,NS- Use VS 
862,,الفلاحة تقطف القطن,,الفلاحة تقطف الفلاحة القطن,NS- Use VS 
863,,الفلاح يبذر الأرض,,الفلاح يبذر الفلاح الأرض,NS- Use VS 
864,,المحراث يقلب التراب,,المحراث يقلب المحراث التراب,NS- Use VS 
865,,اللاعب يتسلل بالكرة,,اللاعب يتسلل اللاعب بالكرة,NS- Use VS 
866,,المعروف لا يضيع مع أهله,,المعروف لا يضيع المعروف مع أهله,NS- Use VS 
867,,الرياح تهب بشدة,,الرياح تهب الرياح بشدة,NS- Use VS 
868,,العائد يقبل تراب الوطن,,العائد يقبل العائد تراب الوطن,NS- Use VS 
869,,الربيع أقبل بمرجه الأخضر,,الربيع أقبل الربيع بمرجه الأخضر,NS- Use VS 
870,,محمد يحب التفاح,,محمد يحب محمد التفاح,NS- Use VS 
871,,حسام يأكل الموز,,حسام يأكل حسام الموز,NS- Use VS 
872,,فاطمة تفوقت في الامتحان,,فاطمة تفوقت فاطمة في الامتحان,NS- Use VS 
873,,الحقل يثمر كل عام,,الحقل يثمر الحقل كل عام,NS- Use VS 
874,,المهندس يشيد القصر,,المهندس يشيد المهندس القصر,NS- Use VS 
875,,الأسد يفترس الغزال,,الأسد يفترس الأسد الغزال,NS- Use VS 
876,,الطالب يذهب إلى المدرسة,,الطالب يذهب الطالب إلى المدرسة,NS- Use VS 
877,,الطالب يحل الوظيفة,,الطالب يحل الطالب الوظيفة,NS- Use VS 
878,,الرجل يسكن في المدينة,,الرجل يسكن الرجل في المدينة,NS- Use VS 
879,,الحق يعلو فوق الجميع,,الحق يعلو الحق فوق الجميع,NS- Use VS 
880,,المسلم يخلص في عمله,,المسلم يخلص المسلم في عمله,NS- Use VS 
881,,التلميذ يتفوق في دروسه,,التلميذ يتفوق التلميذ في دروسه,NS- Use VS 
882,,السهم يندفع إلى الأمام,,السهم يندفع السهم إلى الأمام,NS- Use VS 
883,,الرصاصة أصابت الهدف,,الرصاصة أصابت الرصاصة الهدف,NS- Use VS 
884,,الفارس امتطى صهوة حصانه,,الفارس امتطى الفارس صهوة حصانه,NS- Use VS 
885,,المدير يمنح الجوائز للمتفوقين,,المدير يمنح المدير الجوائز للمتفوقين,NS- Use VS 
886,,العمل يحفظ الكرامة,,العمل يحفظ العمل الكرامة,NS- Use VS 
887,,المال يقضي الحوائج,,المال يقضي المال الحوائج,NS- Use VS 
888,,المؤمن لا يلدغ من جحر مرتين,,المؤمن لا يلدغ المؤمن من جحر مرتين,NS- Use VS 
889,,المفكر يبدع أفكار جديدة,,المفكر يبدع المفكر أفكار جديدة,NS- Use VS 
890,,الرسام يلون اللوحة,,الرسام يلون الرسام اللوحة,NS- Use VS 
891,,القاضي يخلي سبيل المتهم,,القاضي يخلي القاضي سبيل المتهم,NS- Use VS 
892,,التلفاز يعرض برامج علمية,,التلفاز يعرض التلفاز برامج علمية,NS- Use VS 
893,,الحاسوب يدمج اللعب والمنفعة,,الحاسوب يدمج الحاسوب اللعب والمنفعة,NS- Use VS 
894,,ابن بطوطة دار حول العالم,,ابن بطوطة دار ابن بطوطة حول العالم,NS- Use VS 
895,,الإدريسي رسم خريطة العالم,,الإدريسي رسم الإدريسي خريطة العالم,NS- Use VS 
896,,اللفظ يعبر عن المشاعر,,اللفظ يعبر اللفظ عن المشاعر,NS- Use VS 
897,,الأعلام ترفرف عالية,,الأعلام ترفرف الأعلام عالية,NS- Use VS 
898,,الأزهار تتفتح في الربيع,,الأزهار تتفتح الأزهار في الربيع,NS- Use VS 
899,,المسك ينتشر في أرجاء الغرفة,,المسك ينتشر السمك في أرجاء الغرفة,NS- Use VS 
900,,الأرض ترتدي ثوبها السندسي,,الأرض ترتدي الأرض ثوبها السندسي,NS- Use VS 
901,,الصداقة تدوم بصدق المشاعر,,الصداقة تدوم الصداقة بصدق المشاعر,NS- Use VS 
902,,التعاون يكون لوجه الله,,التعاون يكون التعاون لوجه الله,NS- Use VS 
903,,المعلم يشرح الدرس,,المعلم يشرح المعلم الدرس,NS- Use VS 
904,,المعلمة تشرح القاعدة,,المعلمة تشرح المعلمة القاعدة,NS- Use VS 
905,,الطبيب يجري العملية,,الطبيب يجري الطبيب العملية,NS- Use VS 
906,,الممرضة تضمد الجرح,,الممرضة تضمد الممرضة الجرح,NS- Use VS 
907,,الممرض يسعف المصابين,,الممرض يسعف الممرض المصابين,NS- Use VS 
908,,رجل الإطفاء يخمد النار,,رجل الإطفاء يخمد رجل الإطفاء النار,NS- Use VS 
909,,النجار يصنع الأثاث,,النجار يصنع النجار الأثاث,NS- Use VS 
910,,الخياط يخيط الملابس,,الخياط يخيط الخياط الملابس,NS- Use VS 
911,,السلام يعم العالم,,السلام يعم السلام العالم,NS- Use VS 
912,,الثلج يذوب بالحرارة,,الثلج يذوب الثلج بالحرارة,NS- Use VS 
913,,النار تنطفئ بالماء,,النار تنطفئ النار بالماء,NS- Use VS 
914,,المرض ينتشر بالعدوى,,المرض ينتشر المرض بالعدوى,NS- Use VS 
915,,الذهب يلمع,,الذهب يلمع الذهب,NS- Use VS 
916,,الرصاص ينصهر بالحرارة,,الرصاص ينصهر الرصاص بالحرارة,NS- Use VS 
917,,الزجاج يتشكل بالحرارة,,الزجاج يتشكل الزجاج بالحرارة,NS- Use VS 
918,,الماء ينحدر من الصخر,,الماء ينحدر الماء من الصخر,NS- Use VS 
919,,الغيرة تأكل الحسود,,الغيرة تأكل الغيرة الحسود,NS- Use VS 
920,,الحرارة تذيب الجليد,,الحرارة تذيب الحرارة الجليد,NS- Use VS 
921,,العين تذرف الدموع,,العين تذرف العين الدموع,NS- Use VS 
922,,السحابة تحمل الخير,,السحابة تحمل السحابة الخير,NS- Use VS 
923,,العصافير تطير مغردة,,العصافير تطير العصافير مغردة,NS- Use VS 
924,,الطيور تهاجر في فصل الشتاء,,الطيور تهاجر الطيور في فصل الشتاء,NS- Use VS 
925,,أشعة الشمس تداعب الطبيعة,,أشعة الشمس تداعب أشعة الشمس الطبيعة,NS- Use VS 
926,,الفلاح يغرس الأشجار,,الفلاح يغرس الفلاح الأشجار,NS- Use VS 
927,,العامل يعطي العمل حقه,,العامل يعطي العامل العمل حقه,NS- Use VS 
928,,السلاح يفتك بالعدو,,السلاح يفتك السلاح بالعدو,NS- Use VS 
929,,الزمن يمضي بسرعة,,الزمن يمضي الزمن بسرعة,NS- Use VS 
930,,الدم يسري بالجسد,,الدم يسري الدم بالجسد,NS- Use VS 
931,,الإدارة تعلن الافتتاح,,الإدارة تعلن الإدارة الافتتاح,NS- Use VS 
932,,الحق يعلو فوق الجميع,,الحق يعلو الحق فوق الجميع,NS- Use VS 
933,,الطائرة تهبط في المطار,,الطائرة تهبط الطائرة في المطار,NS- Use VS 
934,,السفينة تحط في الميناء,,السفينة تحط السفينة في الميناء,NS- Use VS 
935,,العقاقير تصنع من الأعشاب,,العقاقير تصنع العقاقير من الأعشاب,NS- Use VS 
936,,الملح يستخرج من البحر,,الملح يستخرج الملح من البحر,NS- Use VS 
937,,السكر يستخرج من النبات,,السكر يستخرج السكر من النبات,NS- Use VS 
938,,الرحى تطحن الحبوب,,الرحى تطحن الرحى الحبوب,NS- Use VS 
939,,الحرب تطحن الرجال,,الحرب تطحن الحرب الرجال,NS- Use VS 
940,,الغيث يجود بغزارة,,الغيث يجود الغيث بغزارة,NS- Use VS 
941,,الستار يسدل,,الستار يسدل الستار,NS- Use VS 
942,,الصدقة تربي المال,,الصدقة تربي الصدقة المال,NS- Use VS 
943,,التجارة تزيد رأس المال,,التجارة تزيد التجارة رأس المال,NS- Use VS 
944,,المستثمر ينهي أعماله,,المستثمر ينهي المستثمر أعماله,NS- Use VS 
945,,المستعمر يخرب البلاد,,المستعمر يخرب المستعمر البلاد,NS- Use VS 
946,,الاحتلال يخرب الوطن,,الاحتلال يخرب الاحتلال الوطن,NS- Use VS 
947,,الحريق يشتعل بعود ثقاب,,الحريق يشتعل الحريق بعود ثقاب,NS- Use VS 
948,,النجوم تلمع كالفضة,,النجوم تلمع النجوم كالفضة,NS- Use VS 
949,,السماء تمطر بغزارة,,السماء تمطر السماء بغزارة,NS- Use VS 
950,,البحر يهيج عالياً,,البحر يهيج البحر عالياً,NS- Use VS 
951,,الموج يعلو فوق البحر,,الموج يعلو الموج فوق البحر,NS- Use VS 
952,,الأهازيج تملأ الدنيا,,الأهازيج تملأ الأهازيج الدنيا,NS- Use VS 
953,,الهتافات تعلو المكان,,الهتافات تعلو الهتافات المكان,NS- Use VS 
954,,الصداقة تدوم بالإخلاص,,الصداقة تدوم الصداقة بالإخلاص,NS- Use VS 
955,,الولد يشرب الحليب,,الولد يشرب الولد الحليب,NS- Use VS 
956,,البنت ترسم اللوحة,,البنت ترسم البنت اللوحة,NS- Use VS 
957,,الفلاحة تقطف الثمار,,الفلاحة تقطف الفلاحة الثمار,NS- Use VS 
958,,الولد يلعب بالكرة,,الولد يلعب الولد بالكرة,NS- Use VS 
959,,المهندسان يبدعان في العمل,,المهندسان يبدعان المهندسان في العمل,NS- Use VS 
960,,الطيب يعالج المرضى,,الطيب يعالج الطبيب المرضى,NS- Use VS 
961,,البيت يتسع للأحبة,,البيت يتسع البيت للأحبة,NS- Use VS 
962,,القصيدة تتألف من أبيات,,القصيدة تتألف القصيدة من أبيات,NS- Use VS 
963,,المعلقة كتبت بماء الذهب,,المعلقة كتبت المعلقة بماء الذهب,NS- Use VS 
964,,السفينة تبحر في المحيط,,السفينة تبحر السفينة في المحيط,NS- Use VS 
965,,القبطان يدير السفينة,,القبطان يدير القبطان السفينة,NS- Use VS 
966,,الذئاب تحوم حول الأغنام,,الذئاب تحوم الذئاب حول الأغنام,NS- Use VS 
967,,الملائكة تسجل أعمال الإنسان,,الملائكة تسجل الملائكة أعمال الإنسان,NS- Use VS 
968,,القيادة تقرر الالتزام بالعمل,,القيادة تقرر القيادة الالتزام بالعمل,NS- Use VS 
969,,الأشجار تزهر في الربيع,,الأشجار تزهر الأشجار في الربيع,NS- Use VS 
970,,الأغصان تتدلى من الثمار,,الأغصان تتدلى الأغصان من الثمار,NS- Use VS 
971,,الرياضة تنشط الجسد,,الرياضة تنشط الرياضة الجسد,NS- Use VS 
972,,الحكمة تأتي من التجربة,,الحكمة تأتي الحكمة من التجربة,NS- Use VS 
973,,الشمس تغادر السماء عند الغروب,,الشمس تغادر الشمس السماء عند الغروب,NS- Use VS 
974,,القمر يتوسط السماء,,القمر يتوسط القمر السماء,NS- Use VS 
975,,الأناقة تتربع على عرش الجمال,,الأناقة تتربع الأناقة على عرش الجمال,NS- Use VS 
976,,الطيور تقع على أشكالها,,الطيور تقع الطيور على أشكالها,NS- Use VS 
977,,الفريق يقبل التحدي,,الفريق يقبل الفريق التحدي,NS- Use VS 
978,,الوطن يحتضن أبناءه,,الوطن يحتضن الوطن أبناءه,NS- Use VS 
979,,الأم تحنو على صغارها,,الأم تحنو الأم على صغارها,NS- Use VS 
980,,الكواكب تدور حول الشمس,,الكواكب تدور الكواكب حول الشمس,NS- Use VS 
981,,الغيوم تنتشر في السماء,,الغيوم تنتشر الغيوم في السماء,NS- Use VS 
982,,البدر ينير السماء في الليل,,البدر ينير البدر السماء في الليل,NS- Use VS 
983,,الزجاج يصنع من الرمل,,الزجاج يصنع الزجاج من الرمل,NS- Use VS 
984,,المريض يتماثل للشفاء,,المريض يتماثل المريض للشفاء,NS- Use VS 
985,,الثلج يسقط بغزارة,,الثلج يسقط الثلج بغزارة,NS- Use VS 
986,,المصائب تشتد لتفرج,,المصائب تشتد المصائب لتفرج,NS- Use VS 
987,,السمكة تسبح في البحر,,السمكة تسبح السمكة في البحر,NS- Use VS 
988,,الكاتب يؤلف قصة,,الكاتب يؤلف الكاتب قصة,NS- Use VS 
989,,السماء تمطر ,,السماء تمطر السماء ,NS- Use VS 
990,,الملعب يتسع للجمهور,,الملعب يتسع الملعب للجمهور,NS- Use VS 
